TIME	TIMECORR	CADENCENO	SAP_FLUX	SAP_FLUX_ERR	SAP_BKG	SAP_BKG_ERR	PDCSAP_FLUX	PDCSAP_FLUX_ERR	QUALITY	PSF_CENTR1	PSF_CENTR1_ERR	PSF_CENTR2	PSF_CENTR2_ERR	MOM_CENTR1	MOM_CENTR1_ERR	MOM_CENTR2	MOM_CENTR2_ERR	POS_CORR1	POS_CORR2
2447.7707114964483	0.00046860604	878627	6038.9585	10.21846	1608.2374	3.5795636	6860.6934	11.9119005	0					2073.700139569632	0.0014295994	1621.8588492615156	0.001123024	-0.054555323	0.012015493
2447.772100524446	0.0004687458	878628	6031.3696	10.213819	1612.6879	3.577575	6853.2783	11.906489	0					2073.706367314549	0.0014338008	1621.8662327226727	0.0011233723	-0.044773284	0.018893106
2447.773489552444	0.00046888556	878629	6045.932	10.215343	1604.1305	3.5682046	6872.643	11.908267	0					2073.7001528129495	0.001428901	1621.8618007691236	0.0011214127	-0.054100674	0.017003944
2447.774878580443	0.0004690253	878630	6030.7983	10.205225	1607.5718	3.5688124	6851.0654	11.896473	0					2073.70223677176	0.0014331954	1621.8620006673082	0.0011234652	-0.048612993	0.015951797
2447.776267608411	0.00046916504	878631	6038.043	10.209974	1605.2753	3.5664773	6854.828	11.902008	0					2073.6988348045493	0.0014298517	1621.8608517459206	0.0011217847	-0.054513898	0.014533778
2447.7776566364087	0.0004693048	878632	6036.393	10.221273	1610.0333	3.5794148	6856.373	11.91518	0					2073.7003443980125	0.0014314384	1621.8671290638936	0.0011239314	-0.049680807	0.020891823
2447.7790456643775	0.00046944452	878633	6009.124	10.197397	1607.909	3.5697665	6849.505	11.887347	0					2073.706593731873	0.001437408	1621.8699172372546	0.0011268761	-0.0401813	0.028942598
2447.7804346923463	0.00046958425	878634	6023.557	10.208529	1610.1732	3.5724332	6867.078	11.900325	0					2073.6979078222016	0.0014357019	1621.8557128124035	0.0011271699	-0.05145354	0.007661207
2447.7818237203437	0.000469724	878635	6030.546	10.207873	1605.942	3.5705671	6860.2183	11.899559	0					2073.7026659694843	0.001431864	1621.8635595082771	0.0011237093	-0.0482117	0.020716116
2447.7832127483125	0.00046986373	878636	6027.731	10.208519	1606.9512	3.570762	6864.8394	11.900311	0					2073.698883954976	0.0014342959	1621.862567060166	0.0011253258	-0.045879208	0.020213636
2447.7846017762818	0.00047000346	878637	6017.258	10.202022	1604.898	3.5715852	6856.0776	11.892738	0					2073.698023572523	0.0014338176	1621.8593067083398	0.0011263449	-0.052596413	0.012065273
2447.7859908042224	0.00047014316	878638	6030.5073	10.21331	1613.4121	3.5728307	6847.383	11.905897	0					2073.703824109215	0.0014328114	1621.8629171949774	0.0011233808	-0.050998606	0.017169693
2447.787379832191	0.0004702829	878639	6038.6333	10.218157	1609.2803	3.571086	6857.5264	11.911548	0					2073.698227648493	0.001431496	1621.861405483471	0.0011237235	-0.053385485	0.0150867915
2447.78876886016	0.00047042262	878640	6033.839	10.217554	1614.0996	3.5765016	6849.6836	11.910845	0					2073.6973876561983	0.0014328486	1621.8590745840947	0.001123861	-0.055801705	0.012482792
2447.7901578880997	0.0004705623	878641	6046.549	10.217627	1607.7107	3.570299	6872.643	11.910929	0					2073.7026454720017	0.0014290886	1621.8658796555537	0.0011212036	-0.05076991	0.020714363
2447.7915469160394	0.000470702	878642	6027.499	10.213588	1613.2607	3.5776224	6852.467	11.906221	0					2073.7027660076374	0.0014319728	1621.869112712939	0.0011252332	-0.04466807	0.024847938
2447.792935944009	0.00047084174	878643	6032.1494	10.214452	1607.8628	3.571579	6854.9243	11.907228	0					2073.700548778734	0.001431558	1621.8584398786054	0.0011245155	-0.054116353	0.011956379
2447.794324971948	0.00047098144	878644	6029.086	10.212011	1606.3954	3.5690713	6859.318	11.904384	0					2073.698917011942	0.0014316969	1621.8612134164066	0.0011256469	-0.053199496	0.014152048
2447.7957139998866	0.00047112114	878645	6026.6606	10.209041	1610.8729	3.5733073	6855.4346	11.900921	0					2073.702986933538	0.0014345426	1621.865928429577	0.0011258009	-0.04567379	0.019039406
2447.7971030278263	0.00047126084	878646	6039.3438	10.214489	1606.3187	3.5748577	6867.3145	11.907271	0					2073.6989390587005	0.0014307817	1621.8649763442752	0.0011231474	-0.052228075	0.01949436
2447.798492055738	0.0004714005	878647	6004.729	10.201938	1612.9972	3.5752013	6825.674	11.89264	0					2073.703035810328	0.0014373775	1621.8604392400707	0.001127237	-0.050405055	0.015535128
